"","AccountWeeks","ContractRenewal","DataPlan","DataUsage","CustServCalls","DayMins","DayCalls","MonthlyCharge","OverageFee","RoamMins"
"AccountWeeks",1,-0.0247346546196834,0.00291840906893002,0.0143907566737119,-0.00379593892704604,0.00621602053219432,0.0384698823167049,0.0125806697430245,-0.00674946204711159,0.00951390234204819
"ContractRenewal",-0.0247346546196834,1,-0.00600637065171065,-0.0192229133860702,0.0245219562235524,-0.0493958240851895,-0.00375462587667682,-0.047291398627088,-0.0191046439476938,-0.0458707429460627
"DataPlan",0.00291840906893002,-0.00600637065171065,1,0.945981733607085,-0.0178239440591626,-0.00168406871001169,-0.0110859022273026,0.737489653487132,0.0215255588352567,-0.00131787099290071
"DataUsage",0.0143907566737119,-0.0192229133860702,0.945981733607085,1,-0.0217225176232818,0.00317595147931157,-0.0079620788348033,0.781660429074941,0.0196373715239522,0.162745576325053
"CustServCalls",-0.00379593892704604,0.0245219562235524,-0.0178239440591626,-0.0217225176232818,1,-0.0134231863518058,-0.0189419303135843,-0.0280168529879148,-0.0129642192994623,-0.00963967958918606
"DayMins",0.00621602053219432,-0.0493958240851895,-0.00168406871001169,0.00317595147931157,-0.0134231863518058,1,0.0067504138797298,0.567967924067934,0.00703821370327781,-0.0101545855715995
"DayCalls",0.0384698823167049,-0.00375462587667682,-0.0110859022273026,-0.0079620788348033,-0.0189419303135843,0.0067504138797298,1,-0.00796321814404186,-0.0214486022901883,0.0215647943297147
"MonthlyCharge",0.0125806697430245,-0.047291398627088,0.737489653487132,0.781660429074941,-0.0280168529879148,0.567967924067934,-0.00796321814404186,1,0.281766047863386,0.117432606624182
"OverageFee",-0.00674946204711159,-0.0191046439476938,0.0215255588352567,0.0196373715239522,-0.0129642192994623,0.00703821370327781,-0.0214486022901883,0.281766047863386,1,-0.0110233355542988
"RoamMins",0.00951390234204819,-0.0458707429460627,-0.00131787099290071,0.162745576325053,-0.00963967958918606,-0.0101545855715995,0.0215647943297147,0.117432606624182,-0.0110233355542988,1
