Community,Price,Bedrooms,Squarefootage
PA,640,5,6.00
PA,140,2,5.50
PA,405,2,7.50
PA,389,3,7.00
PA,359,3,5.70
PA,349,2,6.30
PA,388,3,5.00
PA,599,3,10.00
PA,475,3,7.40
PA,589,3,10.00
PA,580,3,15.40
PA,475,3,6.00
PA,428,3,6.60
MP,379,4,7.00
MP,310,2,6.00
MP,435,4,6.60
MP,389,3,7.20
MP,419,4,4.00
MP,499,4,6.00
MP,395,3,7.20
MP,435,2,6.00
MP,615,4,6.00
MP,425,4,7.50
MP,419,3,10.00
MP,625,4,9.60
MP,445,4,6.10
LA,499,4,13.30
LA,589,4,13.60
LA,569,3,11.00
LA,550,3,10.00
LA,825,4,10.00
LA,660,3,17.00
LA,735,5,10.00
LA,299,3,10.00
LA,499,3,17.60
