Country,State,City,Latitude,Longitude,,
Australia,New South Wales,Bathurst,-33.42,149.5778,,
Australia,Victoria,Benalla,-36.5519,145.9817,,
Australia,New South Wales,Blue Mountains,-33.7181,150.3106,,
Australia,Western Australia,Busseltol,-33.6478,115.3458,,
Australia,New South Wales,Campbeltown,-34.065,150.8142,,  
Australia,Western Australia,Freemantle,-32.0569,115.7439,,
Australia,New South Wales,Grafton,-29.6833,152.9333,,
Australia,Queensland,Gympie,-26.1833,152.6667,,
Australia,Victoria,Hamilton,-37.7444,142.0219,,
Australia,South Australia,Mount Barker,-35.0667,138.85,,
Australia,New South Wales,Lithgow,-33.4833,150.15,,
Australia,New South Wales,Penrith,-33.758,150.7054,,
Australia,South Australia,Port Adelaide,-34.846,138.503,,
Australia,South Australia,Port Lincoln,-34.7195321,135.8574623,,
Australia,South Australia,Victor Harbor,-35.5532268,138.622949,,
Australia,Western Australia,Rockingham,-32.2756,115.729,,
Australia,Victoria,Ararat ,-37.2823,142.93,,
Australia,Victoria,Frankston,-38.1414,145.1225,,
